"","meanImp","medianImp","minImp","maxImp","normHits","decision"
"PAYMENT_PERC_mean",8.1567353240131,8.26300996680249,5.61807277240165,9.59656751802864,1,"Confirmed"
"PAYMENT_DIFF_mean",7.67925439378651,7.62198298383201,6.12393273509101,9.18402356116164,1,"Confirmed"
"DPD_mean",7.97768672705634,8.11825700233015,6.03252808212383,10.0863463165402,1,"Confirmed"
"DBD_mean",5.17569001908881,5.13132793411106,3.1045219920381,7.64157616121661,0.959183673469388,"Confirmed"
"NUM_INSTALMENT_VERSION_sd",5.04060060545874,5.06468531051435,3.6551900331196,7.06524313567924,1,"Confirmed"
"NUM_INSTALMENT_NUMBER_sd",8.40345888895337,8.44797944265881,5.39248740694066,10.8593534625743,1,"Confirmed"
"DAYS_INSTALMENT_sd",7.67869560664844,7.70018684856399,5.71748791740389,9.13945360305035,1,"Confirmed"
"DAYS_ENTRY_PAYMENT_sd",7.50111686799275,7.43653934874729,5.69130964826615,8.94516591218244,1,"Confirmed"
"AMT_INSTALMENT_sd",7.97139481141695,8.04754598788572,5.39937011843831,10.1559080386735,1,"Confirmed"
"AMT_PAYMENT_sd",8.53936893587608,8.55778116945756,6.09668081751468,10.5426238382675,1,"Confirmed"
"PAYMENT_PERC_sd",5.29803516827762,5.15623828264948,3.96335938692898,7.09118891866933,0.979591836734694,"Confirmed"
"PAYMENT_DIFF_sd",4.58507151561179,4.566285875013,3.1713769935691,6.19435065212586,0.938775510204082,"Confirmed"
"DPD_sd",7.85514411000627,7.86015845625289,5.70422587515543,9.66079868646364,1,"Confirmed"
"DBD_sd",6.37989830900679,6.41751322795079,4.7946904645546,8.16403765675611,1,"Confirmed"
"NUM_INSTALMENT_VERSION_min",2.5140485897337,2.51056987326175,1.26838090390696,3.72119800280638,0.183673469387755,"Rejected"
"NUM_INSTALMENT_NUMBER_min",1.53427716850654,1.67529254374191,-0.221926652596071,2.65703292743637,0,"Rejected"
"DAYS_INSTALMENT_min",7.34625094678607,7.29517392040939,6.03930688217772,8.27144427265622,1,"Confirmed"
"DAYS_ENTRY_PAYMENT_min",7.02991663135689,6.99595721571518,4.64140939937909,8.91032541894326,1,"Confirmed"
"AMT_INSTALMENT_min",7.579128630015,7.57651298903634,6.22882703292133,9.16416734796509,1,"Confirmed"
"AMT_PAYMENT_min",9.28956429905704,9.33117915205979,6.86204039386623,11.4657843311684,1,"Confirmed"
"PAYMENT_PERC_min",7.05335800646925,7.06157535246443,5.36804854310865,8.20987587263621,1,"Confirmed"
"PAYMENT_DIFF_min",4.01704035554132,4.03637799769884,1.97531164008804,5.07126958800621,0.918367346938776,"Confirmed"
"DPD_min",2.41205575457779,2.43303728348612,1.30048999706049,3.16497645781723,0.0612244897959184,"Rejected"
"DBD_min",6.44872359143483,6.47574925291254,5.23439785057222,7.70634772893476,1,"Confirmed"
"NUM_INSTALMENT_VERSION_max",3.79096910785049,3.7555804226162,2.07890416585293,5.64694610059987,0.795918367346939,"Confirmed"
"NUM_INSTALMENT_NUMBER_max",6.80390861911383,6.9201864840942,4.66797469733469,8.51367427127102,1,"Confirmed"
"DAYS_INSTALMENT_max",7.53062147257338,7.75541152906042,4.09197610927216,9.43340325095069,1,"Confirmed"
"DAYS_ENTRY_PAYMENT_max",8.0670602946172,8.14072868280811,4.86782365651226,10.1533701829549,1,"Confirmed"
"AMT_INSTALMENT_max",7.35514158000585,7.44391618779464,3.94783085743008,9.27199156237214,1,"Confirmed"
"AMT_PAYMENT_max",10.0289420747214,10.2007097106799,6.67112152651446,11.54536310289,1,"Confirmed"
"PAYMENT_DIFF_max",7.05114210535474,7.03547372591802,4.74889250176555,8.86291231536071,1,"Confirmed"
"DPD_max",6.99852298782394,6.80512038968529,5.58938518704822,8.40495666680864,1,"Confirmed"
"DBD_max",7.76519291870043,7.87043971055213,3.84341860459165,9.33193768726595,1,"Confirmed"
"NUM_INSTALMENT_VERSION_sum",5.39581679404344,5.4500730681662,3.31913062629381,7.14171609273015,0.979591836734694,"Confirmed"
"NUM_INSTALMENT_NUMBER_sum",6.80851911847237,6.93007348298219,4.17826749944658,8.37586093995386,1,"Confirmed"
"DAYS_INSTALMENT_sum",7.5996990432263,7.7291072752619,5.94403123509824,9.26683358784718,1,"Confirmed"
"DAYS_ENTRY_PAYMENT_sum",7.61442821841914,7.67543724120695,5.45567412870849,9.36621495305706,1,"Confirmed"
"AMT_INSTALMENT_sum",7.41789232594008,7.35414142839645,5.54511804972242,9.6477466221439,1,"Confirmed"
"AMT_PAYMENT_sum",7.79409098242062,7.78044758579226,6.64387805129045,9.33769993058692,1,"Confirmed"
"PAYMENT_PERC_sum",6.51578046354932,6.5156476089946,3.84713913574579,8.45890930538939,1,"Confirmed"
"PAYMENT_DIFF_sum",7.18032062703504,7.37297652353694,4.92527022322222,8.4562571236895,1,"Confirmed"
"DPD_sum",6.64392067785173,6.71381903702955,4.41505852920713,9.07361135478613,1,"Confirmed"
"DBD_sum",7.59887789891026,7.61446863737543,4.60830742221367,9.45906457898455,1,"Confirmed"
"NUM_INSTALMENT_VERSION_n_distinct",3.56382666013749,3.58575787428222,1.46787396889452,4.91117725076865,0.653061224489796,"Tentative"
"NUM_INSTALMENT_NUMBER_n_distinct",6.08415114201692,6.17221481463835,2.78193388112333,8.70374309819557,0.979591836734694,"Confirmed"
"DAYS_INSTALMENT_n_distinct",6.30857318857097,6.30520730255489,4.64750717744971,8.22723246852714,1,"Confirmed"
"DAYS_ENTRY_PAYMENT_n_distinct",6.49664471568119,6.56172884178416,4.31520385369754,7.90325901487159,1,"Confirmed"
"AMT_INSTALMENT_n_distinct",5.63255823435158,5.63808748836562,3.71458800709487,7.29089444740251,1,"Confirmed"
"AMT_PAYMENT_n_distinct",6.91271336942806,6.86568315711822,5.38792186114256,8.07596042598676,1,"Confirmed"
"PAYMENT_PERC_n_distinct",4.87052738933326,5.0542311399334,2.26269259235638,6.79335955983655,0.938775510204082,"Confirmed"
"PAYMENT_DIFF_n_distinct",4.56299807852804,4.82316432851204,2.32726763291092,6.86334131730789,0.857142857142857,"Confirmed"
"DPD_n_distinct",5.88595166159267,6.02949926070071,3.58493482266767,7.74903636496456,1,"Confirmed"
"DBD_n_distinct",5.6817825960525,5.60454017545609,4.17237217132035,7.61391458310465,1,"Confirmed"
"MONTHS_BALANCE_mean.y",7.08289221520727,7.08309013254142,3.73464155244185,9.23081359981692,1,"Confirmed"
"CNT_INSTALMENT_mean",6.82338572517528,6.812505377537,4.56023037464492,9.00386547967144,1,"Confirmed"
"CNT_INSTALMENT_FUTURE_mean",6.85649889136193,6.97050218593046,4.30365516815279,8.74740739144536,1,"Confirmed"
"NAME_CONTRACT_STATUS_mean.y",5.58441991754751,5.46955095849105,2.66891367491709,7.62614258816085,0.938775510204082,"Confirmed"
"SK_DPD_mean.y",4.5961181989081,4.60232442397661,2.98897423359687,6.29420972486168,0.959183673469388,"Confirmed"
"SK_DPD_DEF_mean.y",5.95241886240257,6.02671228218103,3.95040561561344,7.17424870286539,1,"Confirmed"
